periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total,var_im_IS_sector_privado_registrado,var_im_IS_sector_publico,var_im_IS_total_registrado,var_im_IS_sector_no_registrado,var_im_IS_indice_total,var_ia_IS_sector_privado_registrado,var_ia_IS_sector_publico,var_ia_IS_total_registrado,var_ia_IS_sector_no_registrado,var_ia_IS_indice_total
2022-09-01,843.4,780.81,820.02,654.74,787.08,0.05816521128174257,0.07721704100215199,0.06486423312166423,0.07964514214101959,0.0672850052884224,0.8024833835566667,0.7823863766064783,0.795258007312214,0.7490516642624354,0.7874369805150567
2022-10-01,888.1,827.5,865.46,675.21,827.54,0.052999762864595734,0.05979687760146524,0.05541328260286349,0.03126431866084256,0.05140519388118103,0.8300397700344124,0.8222055844270237,0.8272527658136983,0.7071881874036057,0.8065797803829109
2022-11-01,953.34,874.76,923.98,718.67,883.06,0.07346019592388253,0.05711178247734128,0.06761722089986821,0.06436516046859486,0.06709041254803383,0.8803550295857989,0.8749946414026664,0.8784281038443555,0.7413859946692511,0.8547394509672133
2022-12-01,996.62,955.04,981.09,722.55,929.56,0.045398283928084426,0.0917737436554027,0.061808697157947234,0.005398861786355402,0.052657803546757975,0.9376676906326553,0.9936123577914622,0.957638279192274,0.6541895604395602,0.9035488296848442
2023-01-01,1042.37,992.3,1023.66,771.21,973.35,0.045905159438903276,0.03901407270899648,0.043390514631685084,0.06734482042765211,0.04710830930762944,0.9368786814575321,1.0126564306431658,0.9636677536926914,0.7216814751975711,0.9210349727638747
2023-02-01,1114.31,1030.47,1082.99,825.87,1031.74,0.06901580053148115,0.038466189660385064,0.05795869722368763,0.07087563698603483,0.05998869882365021,0.9933632672045223,1.041747572815534,1.0103021978021975,0.8047463997727322,0.9743952847519903
2023-03-01,1202.08,1198.55,1200.76,876.04,1136.04,0.07876623201802002,0.16311003716750605,0.10874523310464546,0.06074805962197427,0.10109136022641363,1.0398092684665117,1.1182531547135128,1.068385785402994,0.8124340539981378,1.0244493549076914
2023-04-01,1284.57,1247.39,1270.68,918.51,1200.49,0.06862272061759622,0.04074923866338498,0.05822978780105936,0.04847952148303736,0.05673215731840431,1.0642626428192643,1.1474512369376972,1.0939982202300516,0.7749671484888303,1.0381487580856015
2023-05-01,1389.24,1353.08,1375.74,947.84,1290.46,0.08148251944230367,0.08472891397237414,0.08268013976768329,0.031932150983658314,0.07494439770427075,1.0870113871946638,1.1843600671574324,1.1217785592004814,0.7744163842971341,1.0626568419033613
2023-06-01,1468.48,1434.49,1455.78,1018.88,1368.71,0.05703838069735978,0.06016643509622499,0.05817959788913596,0.07494935854152596,0.06063729212838842,1.0997483413406544,1.214060811853681,1.1404122680624575,0.8236294320846234,1.0866390218617554
2023-07-01,1626.81,1625.51,1626.33,1090.31,1519.5,0.10781896927435164,0.13316230855565392,0.11715369080492932,0.07010639133165819,0.11016942960890175,1.207310619937314,1.3377196767049213,1.2542831004657349,0.8951695607585477,1.1947943147677371
2023-08-01,1762.46,1723.25,1747.82,1183.42,1635.33,0.08338404607790717,0.06012882110845208,0.07470193626139832,0.08539773092056402,0.076229022704837,1.2112566496035333,1.3774212239942605,1.269689768462607,0.9514214101972165,1.2175168822715805
2023-09-01,1995.58,1911.97,1964.34,1271.63,1826.29,0.13226966853148436,0.10951399970985065,0.12388003341305165,0.07453820283584878,0.11677153846624222,1.3661133507232628,1.4487007082388805,1.3954781590692908,0.942190793291994,1.320335925191848
2023-10-01,2169.81,2086.82,2138.81,1334.03,1978.41,0.08730795057076146,0.09145017965763058,0.08881863628496078,0.04907087753513206,0.08329454796335756,1.4432045940772436,1.5218368580060426,1.4712985002195365,0.9757260704077249,1.3907122314329219
